company_id	company_name	domain
1	User Interviews	http://www.userinterviews.com
2	Respondent	http://www.respondent.io
3	Lyssna	http://www.lyssna.com
4	Maze	http://www.maze.co
5	MyParticipants	http://www.myparticipants.com
6	Cue Labs	http://www.cuegrowth.ai
7	Userbrain	http://www.userbrain.com
8	Ethnio	http://www.ethn.io
9	Askable	http://www.askable.com
10	Great Question	http://www.greatquestion.co
11	Marvin	http://www.heymarvin.com
12	Ballpark	http://www.ballparkhq.com
13	Marketade	http://www.marketade.com
14	Bello Insights Lab	http://www.belloinsightslab.com
15	Ahart Solutions	http://www.ahartsolutions.com
16	Usedge	http://www.usedge.com
17	Samelogic	http://www.samelogic.com
18	Questia Group	http://www.questiagroup.com
19	LOOKLOOK	http://www.looklook.app
20	Condens	http://www.condens.io
